Report_Date,business_date,batch_timestamp,account_uuid,plan_uuid,schedule_id,institution_id,Product_ID,error,error_message,field_path,AccountNumber
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,8ff83b9d-97ae-42fe-a9ce-0d3ddf46d926,95c92fa5-fa42-4ca2-a741-f462d350418a,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000000054
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,2cb811eb-b249-4567-a6c6-c62d6e5e690d,2b74acc8-46a8-4eb5-9ade-795324b14108,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000000062
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,f9b45daf-6823-4f01-a4f4-fd91e525bb6f,68565e95-ca87-4da4-9925-ddcd96f352de,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000000070
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,f9b45daf-6823-4f01-a4f4-fd91e525bb6f,1c911013-d5c4-4f82-b09e-ce65d6b928f3,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000000070
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,624cbd6d-02ef-4146-82b9-9b8f3f49db6a,123456s7118121034A,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000000203
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,624cbd6d-02ef-4146-82b9-9b8f3f49db6a,123456s7118121034A2,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000000203
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,987fe390-4794-4431-bd11-1ad91835deb7,h1d32f3d-55d4-47af-80dc-8c405e78ab1e,1,6977,7139,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100000100200010
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,6e9b823a-f50e-4d0f-b6fb-789cbd7858c7,12g-sh00012-bb342,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000001771
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,6e9b823a-f50e-4d0f-b6fb-789cbd7858c7,31cf9904-b4c3-4142-a8eb-ac853dd4ec5e,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000001771
2018-04-01 17:52:37.557,2018-04-01,17:52:37.5570000,554b6eea-fd1e-4bd9-bb20-069769c350f4,dc554662-c529-46fd-9301-42730e31d55a,1,6969,7131,CRS_COMPUTATION_ERROR,scheduleId=3 at monthNumber=1 has MDR output that is negative,schedule at month {1},1100001000001763
